#,日付,ルート,タイプ,備考
15,2022/03/05,成木五丁目自治会館前～夕倉山～大指山～永栗ノ峰～高水山～軍畑駅,日帰り・ハイキング,
14,2022/02/24,唐松岳（丸山で敗退）,日帰り・ハイキング,
13,2022/02/20,高原牧場を通るみち,日帰り・ハイキング,
12,2022/02/12,東武竹沢駅〜金勝山〜官ノ倉山〜小川町駅,日帰り・ハイキング,
11,2022/02/11,強羅駅〜明神ヶ岳〜明星ヶ岳〜宮城野営業所前,日帰り・ハイキング,雪山
10,2022/02/10,高尾山,日帰り・ハイキング,雪
09,2022/02/07,原市場中学校〜周助山〜楢抜山〜河又名栗湖入口,日帰り・ハイキング,
08,2022/02/05,積翠寺〜要害山〜片山〜湯村山〜甲府駅,日帰り・ハイキング,
07,2022/01/29,花の美の山公園を訪ねるみち,日帰り・ハイキング,
06,2022/01/22,軍畑駅〜丸山〜黒山〜長久保山〜大仁田山〜エコス前,日帰り・ハイキング,
05,2022/01/16,川場スキー場〜武尊山〜川場スキー場,日帰り・ハイキング,雪山
04,2022/01/15,塩山駅〜塩ノ山〜恵林寺,日帰り・ハイキング,
03,2022/01/10,中の湯〜上高地〜中の湯,日帰り・ハイキング,
02,2022/01/09,甲府駅〜愛宕山〜夢見山〜大笠山〜武田神社,日帰り・ハイキング,
01,2022/01/08,京岳〜トヤド浅間〜連行峰〜万六ノ頭〜柏木野,日帰り・ハイキング,
